date,serial_number,model,capacity_bytes,failure,smart_1_raw,smart_2_raw,smart_3_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_8_raw,smart_9_raw,smart_10_raw,smart_12_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_196_raw,smart_197_raw,smart_199_raw
2019-01-09,PL1331LAGLXP1H,HGST HMS5C4040BLE640,4000787030016,0,0.0,104.0,565.0,11.0,0.0,0.0,42.0,41083.0,0.0,11.0,705.0,705.0,21.0,0.0,0.0,0.0
2019-01-13,PL1331LAGLXP2H,HGST HMS5C4040BLE640,4000787030016,0,0.0,99.0,565.0,12.0,0.0,0.0,42.0,41941.0,0.0,12.0,551.0,551.0,29.0,0.0,0.0,0.0
2019-01-13,PL1331LAGLXP3H,HGST HMS5C4040BLE640,4000787030016,0,0.0,111.0,565.0,12.0,0.0,0.0,42.0,41941.0,0.0,12.0,81.0,81.0,29.0,0.0,0.0,0.0
2019-01-06,PL1331LAGLXP5H,HGST HMS5C4040BLE640,4000787030016,0,0.0,100.0,563.0,33.0,0.0,0.0,42.0,41895.0,0.0,33.0,725.0,725.0,25.0,0.0,0.0,0.0
2019-01-14,PL1331LAGLXP8H,HGST HMS5C4040BLE640,4000787030016,0,0.0,100.0,531.0,9.0,0.0,0.0,42.0,41206.0,0.0,9.0,565.0,565.0,29.0,0.0,0.0,0.0
2019-01-14,PL1331LAGLXPJH,HGST HMS5C4040BLE640,4000787030016,0,0.0,98.0,442.0,8.0,0.0,0.0,42.0,41942.0,0.0,8.0,360.0,360.0,33.0,0.0,0.0,0.0
2019-01-12,PL1331LAGLXPKH,HGST HMS5C4040BLE640,4000787030016,0,0.0,101.0,516.0,18.0,0.0,0.0,42.0,41874.0,0.0,18.0,516.0,516.0,26.0,0.0,0.0,0.0
2019-01-12,PL1331LAGLXPWH,HGST HMS5C4040BLE640,4000787030016,0,0.0,103.0,564.0,15.0,0.0,0.0,42.0,41994.0,0.0,15.0,110.0,110.0,25.0,0.0,0.0,1.0
2019-01-09,PL1331LAGLXR2H,HGST HMS5C4040BLE640,4000787030016,0,0.0,100.0,564.0,11.0,0.0,0.0,42.0,41083.0,0.0,11.0,308.0,308.0,23.0,0.0,0.0,0.0
2019-01-06,PL1331LAGLXRBH,HGST HMS5C4040BLE640,4000787030016,0,0.0,103.0,559.0,33.0,0.0,0.0,42.0,41894.0,0.0,33.0,791.0,791.0,25.0,0.0,0.0,0.0
2019-01-13,PL1331LAGLXRHH,HGST HMS5C4040BLE640,4000787030016,0,0.0,103.0,465.0,6.0,0.0,0.0,42.0,41927.0,0.0,6.0,509.0,509.0,35.0,0.0,0.0,0.0
2019-01-07,PL1331LAGLXRLH,HGST HMS5C4040BLE640,4000787030016,0,0.0,103.0,543.0,15.0,0.0,0.0,42.0,41901.0,0.0,15.0,248.0,248.0,20.0,0.0,0.0,0.0
2019-01-07,PL1331LAGLXRWH,HGST HMS5C4040BLE640,4000787030016,0,0.0,104.0,542.0,20.0,0.0,0.0,42.0,41906.0,0.0,20.0,559.0,559.0,30.0,0.0,0.0,0.0
2019-01-13,PL1331LAGLXRYH,HGST HMS5C4040BLE640,4000787030016,0,0.0,100.0,439.0,6.0,0.0,0.0,42.0,41927.0,0.0,6.0,317.0,317.0,35.0,0.0,0.0,0.0
2019-01-13,PL1331LAGLXSKH,HGST HMS5C4040BLE640,4000787030016,0,0.0,108.0,466.0,6.0,0.0,0.0,42.0,41927.0,0.0,6.0,325.0,325.0,35.0,0.0,0.0,0.0
2019-01-14,PL1331LAGLXTTH,HGST HMS5C4040BLE640,4000787030016,0,0.0,101.0,564.0,7.0,0.0,0.0,42.0,41256.0,0.0,7.0,62.0,62.0,27.0,0.0,0.0,0.0
2019-01-09,PL1331LAGLXUHH,HGST HMS5C4040BLE640,4000787030016,0,0.0,104.0,481.0,11.0,0.0,0.0,42.0,41415.0,0.0,11.0,503.0,503.0,32.0,0.0,0.0,0.0
2019-01-14,PL1331LAGLXV0H,HGST HMS5C4040BLE640,4000787030016,0,0.0,102.0,527.0,14.0,0.0,0.0,42.0,41202.0,0.0,14.0,693.0,693.0,24.0,0.0,0.0,0.0
2019-01-09,PL1331LAGLXV3H,HGST HMS5C4040BLE640,4000787030016,0,0.0,103.0,559.0,5.0,0.0,0.0,42.0,40473.0,0.0,5.0,549.0,549.0,32.0,0.0,0.0,0.0
2019-01-14,PL1331LAGLXVGH,HGST HMS5C4040BLE640,4000787030016,0,0.0,97.0,515.0,14.0,0.0,0.0,42.0,41202.0,0.0,14.0,625.0,625.0,24.0,0.0,0.0,0.0
2019-01-09,PL1331LAGLXW5H,HGST HMS5C4040BLE640,4000787030016,0,0.0,104.0,474.0,11.0,0.0,0.0,42.0,41415.0,0.0,11.0,284.0,284.0,33.0,0.0,0.0,0.0
2019-01-03,PL1331LAGLXX9H,HGST HMS5C4040BLE640,4000787030016,0,0.0,105.0,558.0,14.0,0.0,0.0,42.0,41270.0,0.0,14.0,535.0,535.0,32.0,0.0,0.0,0.0
2019-01-12,PL1331LAGLXY0H,HGST HMS5C4040BLE640,4000787030016,0,0.0,99.0,446.0,7.0,0.0,0.0,42.0,42021.0,0.0,7.0,326.0,326.0,34.0,0.0,0.0,0.0
2019-01-13,PL1331LAGLXY7H,HGST HMS5C4040BLE640,4000787030016,0,0.0,102.0,459.0,7.0,0.0,0.0,42.0,41930.0,0.0,7.0,358.0,358.0,29.0,0.0,0.0,0.0
2019-01-12,PL1331LAGLXYJH,HGST HMS5C4040BLE640,4000787030016,0,0.0,113.0,554.0,17.0,0.0,0.0,42.0,41874.0,0.0,17.0,720.0,720.0,25.0,0.0,0.0,0.0
2019-01-13,PL1331LAGLXYRH,HGST HMS5C4040BLE640,4000787030016,0,0.0,104.0,451.0,6.0,0.0,0.0,41.0,41927.0,0.0,6.0,497.0,497.0,36.0,0.0,0.0,0.0
2019-01-13,PL1331LAGLXYWH,HGST HMS5C4040BLE640,4000787030016,0,0.0,98.0,459.0,6.0,0.0,0.0,42.0,41928.0,0.0,6.0,338.0,338.0,33.0,0.0,0.0,0.0
2019-01-09,PL1331LAGLXZDH,HGST HMS5C4040BLE640,4000787030016,0,0.0,98.0,562.0,5.0,0.0,0.0,42.0,40473.0,0.0,5.0,618.0,618.0,31.0,0.0,0.0,0.0
2019-01-13,PL1331LAGLXZJH,HGST HMS5C4040BLE640,4000787030016,0,0.0,101.0,456.0,6.0,0.0,0.0,42.0,41927.0,0.0,6.0,336.0,336.0,36.0,0.0,0.0,0.0
2019-01-14,PL1331LAGLY42H,HGST HMS5C4040BLE640,4000787030016,0,0.0,104.0,455.0,8.0,0.0,0.0,42.0,41942.0,0.0,8.0,513.0,513.0,32.0,0.0,0.0,0.0
2019-01-13,PL1331LAGLY4LH,HGST HMS5C4040BLE640,4000787030016,0,0.0,101.0,575.0,12.0,0.0,0.0,42.0,41941.0,0.0,12.0,526.0,526.0,29.0,0.0,0.0,0.0
2019-01-13,PL1331LAGLY4XH,HGST HMS5C4040BLE640,4000787030016,0,0.0,101.0,573.0,12.0,0.0,0.0,42.0,41941.0,0.0,12.0,582.0,582.0,32.0,0.0,0.0,0.0
2019-01-03,PL1331LAGLY50H,HGST HMS5C4040BLE640,4000787030016,0,0.0,105.0,556.0,14.0,0.0,0.0,42.0,41269.0,0.0,14.0,498.0,498.0,31.0,0.0,0.0,0.0
2019-01-14,PL1331LAGLY8UH,HGST HMS5C4040BLE640,4000787030016,0,0.0,105.0,452.0,8.0,0.0,0.0,42.0,41942.0,0.0,8.0,484.0,484.0,30.0,0.0,0.0,0.0
2019-01-09,PL1331LAGLY92H,HGST HMS5C4040BLE640,4000787030016,0,0.0,103.0,0.0,4.0,0.0,0.0,42.0,40914.0,0.0,4.0,605.0,605.0,30.0,0.0,0.0,0.0
2019-01-13,PL1331LAGLY9HH,HGST HMS5C4040BLE640,4000787030016,0,0.0,104.0,448.0,6.0,0.0,0.0,42.0,41927.0,0.0,6.0,348.0,348.0,37.0,0.0,0.0,0.0
2019-01-12,PL1331LAGLY9NH,HGST HMS5C4040BLE640,4000787030016,0,0.0,106.0,570.0,17.0,0.0,0.0,42.0,41875.0,0.0,17.0,487.0,487.0,23.0,0.0,0.0,0.0
2019-01-14,PL1331LAGLYA2H,HGST HMS5C4040BLE640,4000787030016,0,0.0,100.0,442.0,8.0,0.0,0.0,42.0,41942.0,0.0,8.0,322.0,322.0,30.0,0.0,0.0,0.0
2019-01-13,PL1331LAGLYA5H,HGST HMS5C4040BLE640,4000787030016,0,0.0,100.0,460.0,7.0,0.0,0.0,42.0,42039.0,0.0,7.0,169.0,169.0,25.0,0.0,0.0,0.0
2019-01-13,PL1331LAGLYASH,HGST HMS5C4040BLE640,4000787030016,0,0.0,104.0,458.0,6.0,0.0,0.0,42.0,41927.0,0.0,6.0,287.0,287.0,37.0,0.0,0.0,0.0
2019-01-13,PL1331LAGLYBLH,HGST HMS5C4040BLE640,4000787030016,0,0.0,98.0,447.0,6.0,0.0,0.0,42.0,41927.0,0.0,6.0,507.0,507.0,36.0,0.0,0.0,0.0
2019-12-31,PL1331LAGLYD0H,HGST HMS5C4040BLE640,4000787030016,0,0.0,104.0,560.0,12.0,0.0,0.0,42.0,48688.0,0.0,12.0,912.0,912.0,23.0,0.0,0.0,0.0
2019-01-09,PL1331LAGLYD1H,HGST HMS5C4040BLE640,4000787030016,0,0.0,101.0,419.0,9.0,0.0,0.0,42.0,40478.0,0.0,9.0,569.0,569.0,33.0,0.0,0.0,0.0
2019-12-31,PL1331LAGLYDNH,HGST HMS5C4040BLE640,4000787030016,0,0.0,98.0,553.0,12.0,0.0,0.0,42.0,48687.0,0.0,12.0,442.0,442.0,24.0,0.0,0.0,0.0
2019-12-31,PL1331LAGLYDVH,HGST HMS5C4040BLE640,4000787030016,0,0.0,97.0,548.0,12.0,0.0,0.0,42.0,48688.0,0.0,12.0,886.0,886.0,24.0,0.0,0.0,0.0
2019-01-07,PL1331LAGLYG2H,HGST HMS5C4040BLE640,4000787030016,0,0.0,101.0,552.0,15.0,0.0,0.0,40.0,41902.0,0.0,15.0,763.0,763.0,21.0,0.0,0.0,0.0
2019-01-12,PL1331LAGLYHAH,HGST HMS5C4040BLE640,4000787030016,0,0.0,98.0,557.0,17.0,0.0,0.0,42.0,41874.0,0.0,17.0,824.0,824.0,23.0,0.0,0.0,0.0
2019-01-13,PL1331LAGLYHJH,HGST HMS5C4040BLE640,4000787030016,0,0.0,103.0,454.0,7.0,0.0,0.0,42.0,42039.0,0.0,7.0,379.0,379.0,25.0,0.0,0.0,0.0
2019-01-09,PL1331LAGLYK1H,HGST HMS5C4040BLE640,4000787030016,0,0.0,100.0,563.0,11.0,0.0,0.0,42.0,41083.0,0.0,11.0,724.0,724.0,24.0,0.0,0.0,0.0
2019-01-14,PL1331LAGLYKHH,HGST HMS5C4040BLE640,4000787030016,0,0.0,105.0,437.0,8.0,0.0,0.0,42.0,41946.0,0.0,8.0,527.0,527.0,24.0,0.0,0.0,0.0
2019-01-14,PL1331LAGLYKNH,HGST HMS5C4040BLE640,4000787030016,0,0.0,94.0,435.0,8.0,0.0,0.0,43.0,41946.0,0.0,8.0,582.0,582.0,24.0,0.0,0.0,0.0
2019-01-14,PL1331LAGLYKPH,HGST HMS5C4040BLE640,4000787030016,0,0.0,109.0,455.0,8.0,0.0,0.0,42.0,41537.0,0.0,8.0,301.0,301.0,21.0,0.0,0.0,0.0
2019-01-07,PL1331LAGLYL9H,HGST HMS5C4040BLE640,4000787030016,0,0.0,95.0,546.0,15.0,0.0,0.0,42.0,41901.0,0.0,15.0,744.0,744.0,20.0,0.0,0.0,0.0
