date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_2_normalized,smart_3_normalized,smart_5_normalized,smart_7_normalized,smart_8_normalized,smart_9_normalized,smart_10_normalized,smart_192_normalized,smart_193_normalized,smart_194_normalized,smart_196_normalized,smart_197_normalized,smart_199_normalized
2019-01-09,PL1331LAGLXEJH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,193.0,100.0,100.0,200.0
2019-01-14,PL1331LAGLXEWH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,137.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,193.0,100.0,100.0,200.0
2019-01-12,PL1331LAGLXGGH,HGST HMS5C4040BLE640,4000787030016,0,100.0,133.0,133.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,222.0,100.0,100.0,200.0
2019-01-13,PL1331LAGLXGNH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,100.0,100.0,100.0,113.0,94.0,100.0,100.0,100.0,222.0,100.0,100.0,200.0
2019-01-14,PL1331LAGLXH0H,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,206.0,100.0,100.0,200.0
2019-01-09,PL1331LAGLXHKH,HGST HMS5C4040BLE640,4000787030016,0,100.0,133.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,200.0,100.0,100.0,200.0
2019-01-13,PL1331LAGLXHXH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,166.0,100.0,100.0,200.0
2019-01-07,PL1331LAGLXJRH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,141.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,214.0,100.0,100.0,200.0
2019-01-13,PL1331LAGLXJXH,HGST HMS5C4040BLE640,4000787030016,0,100.0,133.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,166.0,100.0,100.0,200.0
2019-01-03,PL1331LAGLXJYH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,138.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,222.0,100.0,100.0,200.0
2019-01-14,PL1331LAGLXKKH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,100.0,100.0,100.0,111.0,95.0,100.0,100.0,100.0,230.0,100.0,100.0,200.0
2019-01-06,PL1331LAGLXL1H,HGST HMS5C4040BLE640,4000787030016,0,100.0,133.0,125.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,250.0,100.0,100.0,200.0
2019-01-12,PL1331LAGLXL2H,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,134.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,240.0,100.0,100.0,200.0
2019-01-13,PL1331LAGLXLRH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,200.0,100.0,100.0,200.0
2019-01-12,PL1331LAGLXM3H,HGST HMS5C4040BLE640,4000787030016,0,100.0,135.0,136.0,100.0,100.0,111.0,95.0,100.0,100.0,100.0,250.0,100.0,100.0,200.0
2019-01-03,PL1331LAGLXM9H,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,136.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,200.0,100.0,100.0,200.0
2019-01-09,PL1331LAGLXMMH,HGST HMS5C4040BLE640,4000787030016,0,100.0,132.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,230.0,100.0,100.0,200.0
2019-01-14,PL1331LAGLXMRH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,100.0,100.0,100.0,111.0,95.0,100.0,100.0,100.0,214.0,100.0,100.0,200.0
2019-01-14,PL1331LAGLXMSH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,100.0,100.0,100.0,111.0,95.0,100.0,100.0,100.0,240.0,100.0,100.0,200.0
2019-01-09,PL1331LAGLXMTH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,250.0,100.0,100.0,200.0
2019-01-06,PL1331LAGLXNPH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,125.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,250.0,100.0,100.0,200.0
2019-01-09,PL1331LAGLXNWH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,151.0,100.0,100.0,111.0,95.0,100.0,100.0,100.0,181.0,100.0,100.0,200.0
2019-01-03,PL1331LAGLXP0H,HGST HMS5C4040BLE640,4000787030016,0,100.0,135.0,140.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,181.0,100.0,100.0,200.0
2019-01-09,PL1331LAGLXP1H,HGST HMS5C4040BLE640,4000787030016,0,100.0,133.0,140.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,253.0,100.0,100.0,200.0
2019-01-13,PL1331LAGLXP2H,HGST HMS5C4040BLE640,4000787030016,0,100.0,135.0,138.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,206.0,100.0,100.0,200.0
2019-01-13,PL1331LAGLXP3H,HGST HMS5C4040BLE640,4000787030016,0,100.0,132.0,137.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,206.0,100.0,100.0,200.0
2019-01-06,PL1331LAGLXP5H,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,124.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,240.0,100.0,100.0,200.0
2019-01-14,PL1331LAGLXP8H,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,206.0,100.0,100.0,200.0
2019-01-14,PL1331LAGLXPJH,HGST HMS5C4040BLE640,4000787030016,0,100.0,135.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,181.0,100.0,100.0,200.0
2019-01-12,PL1331LAGLXPKH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,135.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,230.0,100.0,100.0,200.0
2019-01-12,PL1331LAGLXPWH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,124.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,240.0,100.0,100.0,199.0
