date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_3_normalized,smart_4_normalized,smart_5_normalized,smart_7_normalized,smart_9_normalized,smart_184_normalized,smart_187_normalized,smart_188_normalized,smart_190_normalized,smart_191_normalized,smart_193_normalized,smart_194_normalized,smart_195_normalized,smart_197_normalized,smart_198_normalized,smart_199_normalized
2019-12-31,ZA10XGBX,ST8000DM002,8001563222016,0,81.0,84.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,75.0,1.0,85.0,25.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XGC7,ST8000DM002,8001563222016,0,78.0,90.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,77.0,78.0,86.0,23.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XGCN,ST8000DM002,8001563222016,0,84.0,87.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,69.0,95.0,86.0,31.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XGD2,ST8000DM002,8001563222016,0,82.0,84.0,100.0,100.0,92.0,65.0,100.0,100.0,100.0,75.0,93.0,88.0,25.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XGD3,ST8000DM002,8001563222016,0,82.0,98.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,75.0,40.0,85.0,25.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XGD6,ST8000DM002,8001563222016,0,83.0,96.0,100.0,100.0,90.0,65.0,100.0,100.0,100.0,75.0,95.0,95.0,25.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XGDM,ST8000DM002,8001563222016,0,84.0,90.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,65.0,1.0,86.0,35.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XGDN,ST8000DM002,8001563222016,0,84.0,99.0,100.0,100.0,87.0,65.0,100.0,100.0,100.0,73.0,19.0,95.0,27.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XGE2,ST8000DM002,8001563222016,0,70.0,93.0,100.0,100.0,87.0,65.0,100.0,100.0,100.0,71.0,85.0,95.0,29.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XGE3,ST8000DM002,8001563222016,0,81.0,90.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,68.0,13.0,85.0,32.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XGED,ST8000DM002,8001563222016,0,82.0,84.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,79.0,64.0,86.0,21.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XGEL,ST8000DM002,8001563222016,0,80.0,90.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,77.0,94.0,87.0,23.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XGF6,ST8000DM002,8001563222016,0,71.0,87.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,74.0,85.0,87.0,26.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XGF9,ST8000DM002,8001563222016,0,82.0,84.0,100.0,100.0,75.0,65.0,100.0,100.0,100.0,79.0,73.0,85.0,21.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XGFA,ST8000DM002,8001563222016,0,83.0,88.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,73.0,94.0,92.0,27.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XGFF,ST8000DM002,8001563222016,0,82.0,96.0,100.0,100.0,89.0,65.0,100.0,100.0,100.0,76.0,79.0,95.0,24.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XGFH,ST8000DM002,8001563222016,0,79.0,96.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,73.0,92.0,85.0,27.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XGFL,ST8000DM002,8001563222016,0,78.0,96.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,75.0,91.0,87.0,25.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XJG3,ST8000DM002,8001563222016,0,82.0,94.0,100.0,100.0,87.0,65.0,100.0,100.0,100.0,78.0,90.0,96.0,22.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XVFZ,ST8000DM002,8001563222016,0,73.0,95.0,100.0,100.0,95.0,65.0,100.0,100.0,100.0,75.0,86.0,89.0,25.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XVG3,ST8000DM002,8001563222016,0,81.0,86.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,70.0,92.0,87.0,30.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XVTD,ST8000DM002,8001563222016,0,83.0,86.0,100.0,100.0,94.0,71.0,100.0,100.0,100.0,77.0,93.0,83.0,23.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XVZV,ST8000DM002,8001563222016,0,77.0,88.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,75.0,95.0,86.0,25.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10XZFN,ST8000DM002,8001563222016,0,72.0,90.0,100.0,100.0,95.0,66.0,100.0,100.0,100.0,67.0,94.0,88.0,33.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10Y108,ST8000DM002,8001563222016,0,79.0,98.0,100.0,100.0,96.0,65.0,100.0,100.0,100.0,79.0,91.0,87.0,21.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10Y7JK,ST8000DM002,8001563222016,0,83.0,84.0,100.0,100.0,95.0,64.0,100.0,100.0,100.0,76.0,100.0,100.0,24.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10Y7K0,ST8000DM002,8001563222016,0,75.0,84.0,100.0,100.0,95.0,64.0,100.0,100.0,100.0,74.0,100.0,100.0,26.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10Y7K8,ST8000DM002,8001563222016,0,81.0,84.0,100.0,100.0,95.0,64.0,100.0,100.0,100.0,73.0,100.0,100.0,27.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10Y7KK,ST8000DM002,8001563222016,0,83.0,85.0,100.0,100.0,95.0,64.0,100.0,100.0,100.0,74.0,100.0,100.0,26.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10Y7KS,ST8000DM002,8001563222016,0,82.0,84.0,100.0,100.0,95.0,64.0,100.0,100.0,100.0,76.0,100.0,100.0,24.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10Y7KT,ST8000DM002,8001563222016,0,77.0,84.0,100.0,100.0,95.0,64.0,100.0,100.0,100.0,72.0,100.0,100.0,28.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10Y7L1,ST8000DM002,8001563222016,0,84.0,98.0,100.0,100.0,95.0,65.0,100.0,100.0,100.0,71.0,100.0,100.0,29.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10Y7LS,ST8000DM002,8001563222016,0,84.0,84.0,100.0,100.0,95.0,64.0,100.0,100.0,100.0,71.0,100.0,100.0,29.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10Y7M5,ST8000DM002,8001563222016,0,84.0,84.0,100.0,100.0,95.0,64.0,100.0,100.0,100.0,75.0,100.0,100.0,25.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10Y7MK,ST8000DM002,8001563222016,0,75.0,88.0,100.0,100.0,95.0,64.0,100.0,100.0,100.0,68.0,100.0,100.0,32.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10Y7ML,ST8000DM002,8001563222016,0,81.0,84.0,100.0,100.0,95.0,64.0,100.0,100.0,100.0,72.0,100.0,100.0,28.0,1.0,100.0,100.0,200.0
