date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_3_normalized,smart_4_normalized,smart_5_normalized,smart_7_normalized,smart_9_normalized,smart_10_normalized,smart_184_normalized,smart_187_normalized,smart_190_normalized,smart_191_normalized,smart_193_normalized,smart_194_normalized,smart_195_normalized,smart_197_normalized,smart_198_normalized
2019-12-31,ZA174K20,ST8000NM0055,8001563222016,0,81.0,95.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,71.0,77.0,96.0,29.0,81.0,100.0,100.0
2019-12-31,ZA174K2J,ST8000NM0055,8001563222016,0,100.0,99.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,65.0,94.0,96.0,35.0,100.0,100.0,100.0
2019-12-31,ZA174K2L,ST8000NM0055,8001563222016,0,72.0,92.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,67.0,96.0,95.0,33.0,72.0,100.0,100.0
2019-12-31,ZA174K2Z,ST8000NM0055,8001563222016,0,83.0,96.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,66.0,64.0,96.0,34.0,83.0,100.0,100.0
2019-12-31,ZA174K34,ST8000NM0055,8001563222016,0,76.0,96.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,67.0,77.0,96.0,33.0,76.0,100.0,100.0
2019-12-31,ZA174K37,ST8000NM0055,8001563222016,0,83.0,98.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,57.0,97.0,95.0,43.0,83.0,100.0,100.0
2019-12-31,ZA174K3B,ST8000NM0055,8001563222016,0,80.0,89.0,99.0,100.0,94.0,91.0,100.0,100.0,100.0,70.0,99.0,100.0,30.0,80.0,100.0,100.0
2019-12-31,ZA174K3L,ST8000NM0055,8001563222016,0,82.0,98.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,66.0,97.0,94.0,34.0,82.0,100.0,100.0
2019-12-31,ZA174K3P,ST8000NM0055,8001563222016,0,80.0,98.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,60.0,88.0,95.0,40.0,80.0,100.0,100.0
2019-12-31,ZA174K3S,ST8000NM0055,8001563222016,0,84.0,92.0,100.0,100.0,92.0,76.0,100.0,100.0,100.0,60.0,96.0,97.0,40.0,84.0,100.0,100.0
2019-12-31,ZA174K4C,ST8000NM0055,8001563222016,0,78.0,99.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,65.0,97.0,94.0,35.0,78.0,100.0,100.0
2019-12-31,ZA174K4H,ST8000NM0055,8001563222016,0,78.0,94.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,71.0,97.0,94.0,29.0,78.0,100.0,100.0
